Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Agricultural land (sq. km),AG.LND.AGRI.K2,Afghanistan,AFG,380400,377530,379100,379100,379100,379100,379100,379100,379190,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Albania,ALB,11210,11440,12013,11873,11742.9,11743,11817,11691.81,11740.81,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Algeria,DZA,386760,400210,413981.9,414316.35,414310,414564,413602,413351.408,413588.47,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,American Samoa,ASM,30,48,49,49,49,49,49,49,49,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Andorra,AND,230,230,187.6,188.1,188,188.1,188.2,188.2,188.3,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Angola,AGO,574040,469613.9,536221.24,541771.86,547322.48,552873.1,558423.8,563974.3,569524.9,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Antigua and Barbuda,ATG,90,90,90,90,90,90,90,90,90,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Argentina,ARG,1275650,1285100,1492540,1491990,1487000,1487000,1487000,1487000,1487680,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Armenia,ARM,..,13230,16830,16830,16807,16767,16768,16761,16773,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Aruba,ABW,20,20,20,20,20,20,20,20,20,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Australia,AUS,4644370,4554690,3870760,3717750,3744230,3481190,3426020,3718370,3588950,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Austria,AUT,30239,29402,27352,27164,27142,27184.5,26701.7,26546.2,26528.3,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Azerbaijan,AZE,..,47404,47683,47698,47697,47698,47730,47775,47795,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Bahamas, The",BHS,120,130,140,140,140,140,140,140,140,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bahrain,BHR,80,92,86,86,86,86,86,86,86,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bangladesh,BGD,103860,94000,91200,91080,90990,91622.4,91942.1,91873.3,92023,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Barbados,BRB,190,180,130,125,120,110,100,100,100,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belarus,BLR,..,92520,87960,87112,86239,85742,85327,84940,84530,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belgium,BEL,14430,13896,13320,13365,13313,13280,13508,13270,13540,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belize,BLZ,1260,1490,1600,1600,1600,1700,1700,1720,1720,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Benin,BEN,22700,31950,37500,39500,39500,39500,39500,39500,39500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bermuda,BMU,3,4,3,3,3,3,3,3,3,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bhutan,BTN,4540,5300,5196,5196,5256,5256,5190,5130,5130,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bolivia,BOL,354550,371430,376510,377380,377020,376610,376850,374880,377270,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bosnia and Herzegovina,BIH,..,21300,21560,21610,21570,21760,22090,22280,22110,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Botswana,BWA,260210,259510,258870,258820,260040,258616,258616,258616,258616,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Brazil,BRA,2349000,2283235,2332758,2339966,2347174,2354382,2361590,2368786,2368788.01,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,British Virgin Islands,VGB,80,70,70,70,70,70,70,70,70,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Brunei Darussalam,BRN,110,100,134,144,144,144,144,144,144,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bulgaria,BGR,61590,55820,51230,49950,49770,50119,50210,50295.2,50300,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Burkina Faso,BFA,95750,97700,121000,123000,121000,121000,121000,121000,121000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Burundi,BDI,21100,18670,19330,20330,20330,20330,20330,20330,20330,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cabo Verde,CPV,680,710,840,840,790,790,790,790,790,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cambodia,KHM,44550,47700,54550,54550,54550,55660,55660,55660,55660,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cameroon,CMR,91700,91600,97500,97500,97500,97500,97500,97500,97500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Canada,CAN,614030,612870,577710,578420,579130,579850,580500,580240,581990,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cayman Islands,CYM,27,27,27,27,27,27,27,27,27,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Central African Republic,CAF,50060,51490,50800,50800,50800,50800,50800,50800,50800,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Chad,TCD,483000,486300,496850,500360,502360,502370,502380,502380,502380,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Channel Islands,CHI,85,79,95.6,94.6,95.2,92.6,92.9,92.2,92.2,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Chile,CHL,158990,151100,157550,157810,157612,157850,157418,157570,156930,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,China,CHN,5065920,5237310,5287995,5288015,5286950,5286334,5285529,5285311,5285287,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Colombia,COL,450830,448590,426176,448156,447847,447539,447230,494990,494920,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Comoros,COM,1140,1330,1330,1330,1330,1330,1320,1310,1310,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Congo, Dem. Rep.",COD,259600,256000,307760,314000,321000,322000,320000,315000,315000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Congo, Rep.",COG,105210,105400,106020,106270,106270,106270,106270,106280,106280,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Costa Rica,CRI,21986,18400,18120,18010,17780,17775,17775,17795,17825,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cote d'Ivoire,CIV,189300,196000,207000,212000,212000,212000,212000,212000,212000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Croatia,HRV,..,11690,13310,15673,15085,15372,15460,14970,14840,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cuba,CUB,67410,65540,64056,63423,62788.8,62403,62267,63000,63000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cyprus,CYP,1606,1415,1169,1088.3,1089.8,1266.8,1093.9,1214.2,1309.47,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Czech Republic,CZE,..,42800,42250,35210,35160,34940,34880,35210,35230,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Denmark,DNK,27880,26470,26240,26280,26526.31,26338.99,26256.3,26312.89,26320,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Djibouti,DJI,12990,16010,17020,17020,17020,17020,17020,17020,17020,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Dominica,DMA,180,210,250,250,250,250,250,250,250,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Dominican Republic,DOM,25460,25150,23520,23520,23520,24290,24290,24290,24290,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ecuador,ECU,78460,80660,75069,75130,54750,57890,55160,55900,54480,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Egypt, Arab Rep.",EGY,26480,32910,36960,37309.7,37151.9,37898.771,37337.654,38359.688,38359.688,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,El Salvador,SLV,13531.2,13981.2,14521.2,14566.2,14611.2,14656.2,14701.2,14746.2,14791.2,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Equatorial Guinea,GNQ,3340,3340,2840,2840,2840,2840,2840,2840,2840,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Eritrea,ERI,..,75300,75920,75920,75920,75920,75920,75920,75920,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Estonia,EST,..,9860,9559,9650,9740,9930,10030,10020,10040,..,..,..
